_MODEL_;_PRICE_;_QUANTITY_
11495;125.00;20
12822;125.00;9
40004;149.00;4
13892;329.00;4
13592;165.00;1
13593;165.00;2
13595;165.00;1
13596;165.00;2
13598;165.00;1
13599;165.00;1
11686;145.00;1
11687;145.00;1
11690;145.00;1
11691;145.00;1
11693;145.00;1
13437;145.00;1
12990;359.00;3
13691;420.00;1
11135;295.00;6
13293;449.00;1
11133;175.00;11
12991;149.00;7
11132;150.00;48
13797;109.00;2
13980;165.00;2
13981;165.00;3
13982;165.00;1
13983;165.00;2
13984;165.00;1
13985;165.00;2
13986;165.00;2
13987;165.00;2
13988;165.00;1
13990;165.00;2
13000;169.00;6
13991;145.00;1
13992;145.00;3
13993;145.00;3
13994;145.00;2
13996;145.00;2
13997;145.00;2
13998;145.00;1
11782;229.00;7
13739;1695.00;1
11587;395.00;4
12988;359.00;10
11555;159.00;17
40139;125.00;4
11600;75.00;32
13689;229.00;1
13690;450.00;6
13305;265.00;1
11651;95.00;2
11652;95.00;1
11654;95.00;2
13215;95.00;2
12024;95.00;2
12030;95.00;1
12029;95.00;2
12037;95.00;4
12040;95.00;1
12031;95.00;2
12782;4699.00;1
12691;139.00;17
12982;149.00;5
11205;2390.00;2
13792;349.00;4
11854;289.00;4
11189;549.00;5
11853;329.00;5
11181;599.00;3
11207;2190.00;2
11208;2190.00;2
10356;80.00;14
10730;750.00;1
12856;95.00;35
13688;7.00;96
13273;85.00;19
12492;215.00;10
13959;225.00;2
12914;155.00;3
12965;195.00;5
12867;195.00;2
11923;85.00;5
40083;295.00;3
10706;150.00;95
11513;130.00;47
11402;30.00;14
40100;79.00;61
11956;185.00;4
40129;259.00;3
40130;279.00;3
40131;299.00;3
40132;289.00;2
10938;399.00;4
10939;750.00;1
13024;489.00;4
40113;7.00;100
11586;99.00;86
13753;149.00;10
12912;215.00;3
12144;115.00;5
12143;265.00;7
12407;225.00;2
12147;285.00;3
12890;245.00;3
12889;225.00;5
11406;245.00;1
12809;75.00;1
12136;125.00;2
10429;175.00;8
12888;225.00;10
12891;175.00;9
13432;110.00;2
12844;225.00;17
12911;215.00;4
12373;680.00;1
12133;315.00;9
11487;225.00;1
12106;185.00;1
10782;145.00;1
10094;129.00;2
40077;189.00;8
12199;280.00;2
12694;139.00;13
13653;85.00;7
12797;265.00;3
12693;145.00;10
11209;2490.00;3
40123;125.00;2
13448;99.00;3
13454;245.00;2
13458;245.00;3
13654;205.00;2
11784;125.00;6
13692;505.00;1
10948;220.00;3
12989;189.00;6
40080;759.00;2
10749;699.00;2
10751;155.00;14
40086;145.00;3
40088;105.00;3
40090;105.00;2
40089;105.00;4
40087;145.00;4
10048;140.00;6
10052;105.00;10
10059;105.00;9
10053;105.00;5
10054;105.00;5
10055;105.00;9
10049;150.00;10
10056;105.00;9
10051;105.00;6
10060;105.00;10
10061;105.00;10
10050;150.00;10
10057;105.00;8
10058;105.00;11
13359;105.00;3
11494;65.00;6
13962;229.00;3
13967;1590.00;1
13963;229.00;3
13968;1590.00;1
13969;1990.00;1
13970;1590.00;1
40126;245.00;4
11195;155.00;8
11196;270.00;14
11197;375.00;5
11198;445.00;9
10743;80.00;2
10374;219.00;3
12906;195.00;5
12893;175.00;5
12137;165.00;3
12860;145.00;7
12913;255.00;3
12859;285.00;2
10753;1190.00;4
40059;499.00;5
12275;295.00;7
13847;125.00;4
13787;989.00;1
13846;149.00;4
13848;135.00;4
13789;969.00;1
11200;355.00;3
11199;219.00;2
10339;199.00;2
10341;750.00;1
10746;135.00;15
13999;160.00;6
11440;160.00;1
11155;160.00;4
11170;160.00;6
11159;150.00;4
12747;160.00;1
12752;160.00;3
13957;160.00;8
11441;160.00;10
11166;160.00;8
11169;160.00;5
12748;160.00;2
12751;160.00;5
12750;160.00;2
11167;160.00;6
13266;160.00;2
11154;160.00;5
13975;160.00;3
10758;20.00;26
13672;12.00;50
13674;12.00;39
13611;20.00;47
10752;20.00;36
13233;12.00;207
13235;15.00;530
13960;30.00;29
11492;395.00;3
12753;55.00;41
11152;70.00;19
11151;74.00;16
12537;91.00;50
12269;59.00;25
12270;65.00;19
12778;60.00;12
13118;515.00;3
13119;585.00;3
13120;615.00;3
13121;665.00;2
13461;735.00;3
13122;795.00;3
13150;349.00;1
13151;369.00;1
40019;990.00;3
10710;219.00;7
10709;270.00;4
40110;489.00;2
13647;145.00;9
12779;199.00;8
12746;209.00;3
13498;230.00;2
12145;205.00;5
12128;830.00;3
12127;445.00;3
12946;355.00;1
12945;465.00;2
12943;445.00;1
12944;745.00;1
11741;859.00;8
13211;375.00;15
13212;699.00;2
10872;420.00;2
12933;315.00;5
12934;385.00;5
11473;785.00;3
12939;395.00;5
40056;189.00;2
10747;175.00;5
12318;155.00;2
12634;379.00;1
11418;399.00;1
12635;319.00;2
12015;469.00;2
12001;359.00;1
12008;489.00;1
12017;559.00;1
12018;525.00;1
12003;459.00;1
12011;629.00;3
12012;645.00;1
12014;779.00;2
13107;729.00;1
13108;989.00;1
13109;1050.00;1
13116;319.00;1
13117;329.00;1
11269;219.00;6
40020;990.00;3
12392;75.00;5
12394;75.00;5
12395;85.00;7
12396;75.00;6
13135;75.00;6
12397;75.00;7
12192;135.00;6
13517;39.00;1
10308;57.00;12
10269;49.00;22
12928;285.00;3
13087;249.00;6
10744;70.00;3
13961;69.00;5
10266;8.00;96
10267;22.00;98
10268;28.00;69
13751;29.00;50
40058;95.00;23
12764;53.00;33
13311;57.00;48
13089;57.00;43
12754;59.00;50
13554;63.00;5
11875;51.00;63
13550;59.00;47
13552;58.00;45
11881;53.00;49
13551;58.00;37
13553;58.00;30
11882;56.00;38
12766;41.00;16
13093;44.00;46
13092;44.00;58
11888;41.00;39
13917;43.00;42
13916;43.00;50
13401;28.00;2
13400;28.00;16
13726;28.00;24
13398;42.00;56
13399;42.00;3
13559;59.00;85
13402;37.00;52
13403;37.00;25
13397;42.00;17
13395;42.00;56
13396;42.00;13
13562;47.00;18
13439;42.00;6
13390;57.00;25
13389;57.00;29
13560;43.00;54
13561;43.00;25
13733;65.00;12
13698;47.00;46
13699;47.00;45
13700;41.00;33
12791;96.00;41
12706;125.00;4
12793;95.00;1
11400;125.00;23
11376;92.00;24
11446;119.00;23
10285;145.00;16
10281;125.00;16
10290;159.00;9
10274;95.00;36
10284;115.00;22
10286;119.00;2
10272;56.00;42
11699;53.00;42
11137;99.00;84
40106;69.00;12
40134;89.00;25
11143;79.00;36
11443;75.00;24
11594;88.00;29
11142;82.00;57
11442;79.00;6
11593;92.00;16
11141;86.00;51
11444;82.00;22
11445;85.00;21
11145;70.00;4
11140;89.00;39
11139;160.00;22
10273;62.00;79
10292;55.00;21
10291;185.00;7
12551;39.00;51
12550;39.00;47
11885;39.00;52
12552;39.00;47
13556;39.00;49
12757;39.00;69
40068;39.00;46
11889;72.00;59
13078;76.00;13
12759;76.00;26
40063;95.00;50
11878;99.00;2
11887;66.00;13
13080;61.00;11
13081;50.00;17
13708;88.00;46
13919;63.00;57
13712;56.00;47
13567;56.00;46
12549;56.00;1
13312;56.00;39
13091;55.00;10
12768;55.00;1
12758;55.00;11
40061;299.00;7
11883;53.00;73
13309;56.00;15
13088;56.00;13
13555;56.00;19
13602;89.00;5
13854;89.00;1
13603;89.00;1
13604;89.00;8
13605;89.00;3
