Наименование;Наименование артикула;Артикул;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Цвет;Объем встроенной памяти;Размер;Изображения;Изображения
3D Топпер Девушка;11495;11495;RUB;125;1;;;20;;;;1;;;;;;;;;;;;;
3D Топперы с надписями;12822;12822;RUB;125;1;;;9;;;;1;;;;;;;;;;;;;
3Д Топпер Сидящая девушка яркая;;;RUB;149;1;;;4;;;;1;;;;;;;;;;;;;
3д молд Единорожка;13892;13892;RUB;329;1;;;4;;;;1;;;;;;;;;;;;;
DC.01 Краситель пищевой сухой жемчужная пыльца "Kreda" жёлтая (5г);13592;13592;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
DC.02 Краситель пищевой сухой жемчужная пыльца "Kreda" оранжевая (5г);13593;13593;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
DC.04 Краситель пищевой сухой жемчужная пыльца "Kreda" голубая (5г);13595;13595;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
DC.05 Краситель пищевой сухой жемчужная пыльца "Kreda" зеленая (5г);13596;13596;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
DC.07 Краситель пищевой сухой жемчужная пыльца "Kreda" коричневая (5г);13598;13598;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
DC.08 Краситель пищевой сухой жемчужная пыльца "Kreda" черная (5г);13599;13599;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
DF.01 Краситель пищевой сухой цветочная пыльца "Kreda”, желтая (5 г);ДФ1;ДФ1;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
DF.02 Краситель пищевой сухой цветочная пыльца "Kreda”, оранжевая (5 г);ДФ2;ДФ2;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
DF.05 Краситель пищевой сухой цветочная пыльца "Kreda”, зеленая (5 г);ДФ5;ДФ5;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
DF.06 Краситель пищевой сухой цветочная пыльца "Kreda”, сиреневая (5 г);ДФ6;ДФ6;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
DF.08 Краситель пищевой сухой цветочная пыльца "Kreda”, черная (5 г);ДФ8;ДФ8;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
DF.09 Краситель пищевой сухой цветочная пыльца "Kreda”, Фиолетовая  (5 г);13437;13437;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
Flexi (гибкое кружево) IL- Bakery 200гр;12990;12990;RUB;359;1;;;3;;;;1;;;;;;;;;;;;;
Food Фризер, IL Bakery;13691;13691;RUB;420;1;;;1;;;;1;;;;;;;;;;;;;
IL-Mix 200 гр;11135;11135;RUB;295;1;;;6;;;;1;;;;;;;;;;;;;
IL-mix light 200 гр;13293;13293;RUB;449;1;;;1;;;;1;;;;;;;;;;;;;
IL-Айсинг 500 гр;1101;1101;RUB;175;1;;;11;;;;1;;;;;;;;;;;;;
IL-Глосс IL-Bakery 200гр;12991;12991;RUB;149;1;;;7;;;;1;;;;;;;;;;;;;
IL-Пудра 1000 гр;1100;1100;RUB;150;1;;;48;;;;1;;;;;;;;;;;;;
Love с сердцем. Трафарет для пряников;;;RUB;109;1;;;2;;;;1;;;;;;;;;;;;;
Metallic 01 Красный, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Metallic 03 Желтый, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;3;;;;1;;;;;;;;;;;;;
Metallic 04 Зеленый, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
Metallic 05 Голубой, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Metallic 06 Синий, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
Metallic 07 Розовый, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Metallic 08 Коричневый, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Metallic 09 Черный, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Metallic 10 Золото, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;1;;;;1;;;;;;;;;;;;;
Metallic 12 Жемчуг, пыльца блестящая Kreda Bio 6г;;;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Pasticciere. Лента бордюрная в рулоне 5м, h 120 мм, w=150 мкм;13000;13000;RUB;169;1;;;6;;;;1;;;;;;;;;;;;;
Velvet 01 Красный, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
Velvet 03 Желтый, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;3;;;;1;;;;;;;;;;;;;
Velvet 04 Зеленый, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;3;;;;1;;;;;;;;;;;;;
Velvet 05 Синий, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;2;;;;1;;;;;;;;;;;;;
Velvet 07 Черный, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;2;;;;1;;;;;;;;;;;;;
Velvet 09 Розовый, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;2;;;;1;;;;;;;;;;;;;
Velvet 11 Голубой, пыльца матовая Kreda Bio 6г;;;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
Агар-Агар Чили 50 гр;11782;11782;RUB;229;1;;;7;;;;1;;;;;;;;;;;;;
Агар-Агар Чили 500 гр;13739;13739;RUB;1695;1;;;1;;;;1;;;;;;;;;;;;;
Агар-Агар Чили 90 гр;11587;11587;RUB;395;1;;;4;;;;1;;;;;;;;;;;;;
Агар-агар 900 IL-bakery 100 гр;12988;12988;RUB;359;1;;;10;;;;1;;;;;;;;;;;;;
Альтер Айсинг 500 гр;11555;11555;RUB;159;1;;;17;;;;1;;;;;;;;;;;;;
Альтер Микс 80 гр;;;RUB;125;1;;;4;;;;1;;;;;;;;;;;;;
Альтер Пудра 500 гр;11600;11600;RUB;75;1;;;32;;;;1;;;;;;;;;;;;;
Альтер Софт добавка к айсингу белый;13689;13689;RUB;229;1;;;1;;;;1;;;;;;;;;;;;;
Альтер-микс Сухой белок (Альбуфикс) 500 гр;13690;13690;RUB;450;1;;;6;;;;1;;;;;;;;;;;;;
Ананас сублимированная кусочки 1-5 мм 50 гр;13305;13305;RUB;265;1;;;1;;;;1;;;;;;;;;;;;;
Ароматизатор Абрикос 10мл;11651;11651;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Ароматизатор Ананас 10мл;11652;11652;RUB;95;1;;;1;;;;1;;;;;;;;;;;;;
Ароматизатор Арбуз 10мл;11654;11654;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Ароматизатор Гранат 10 мл;13215;13215;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Ароматизатор виноград 10мл;12024;12024;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Ароматизатор грейфрут 10мл;12030;12030;RUB;95;1;;;1;;;;1;;;;;;;;;;;;;
Ароматизатор груша 10мл;12029;12029;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Ароматизатор мёд;12037;12037;RUB;95;1;;;4;;;;1;;;;;;;;;;;;;
Ароматизатор мультифрукты 10мл;12040;12040;RUB;95;1;;;1;;;;1;;;;;;;;;;;;;
Ароматизатор яблоко 10мл;12031;12031;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Аэрограф с компрессором;12782;12782;RUB;4699;1;;;1;;;;1;;;;;;;;;;;;;
Белая глазурь Шокомилк 11;12691;12691;RUB;139;1;;;17;;;;1;;;;;;;;;;;;;
Белые Шоколадные термостабильные капли 200 гр;12982;12982;RUB;149;1;;;5;;;;1;;;;;;;;;;;;;
Белый бельгийский шоколад 25,9% Barry Callebaut 2,5 кг;0978;0978;RUB;2390;1;;;2;;;;1;;;;;;;;;;;;;
Белый шоколад  Zephyr" 34% 250гр;;;RUB;349;1;;;4;;;;1;;;;;;;;;;;;;
Белый шоколад 25.9% Callebaut 250 гр;11854;11854;RUB;289;1;;;4;;;;1;;;;;;;;;;;;;
Белый шоколад 25.9% Callebaut 500 гр;11189;11189;RUB;549;1;;;5;;;;1;;;;;;;;;;;;;
Белый шоколад Velvet 33.1% Barry Callebaut 250 гр;11853;11853;RUB;329;1;;;5;;;;1;;;;;;;;;;;;;
Белый шоколад Velvet 33.1% Barry Callebaut 500 гр;11181;11181;RUB;599;1;;;3;;;;1;;;;;;;;;;;;;
Бельгийский молочный шоколад  33.6% Barry Callebaut 2,5 кг;0925;0925;RUB;2190;1;;;2;;;;1;;;;;;;;;;;;;
Бельгийский темный шоколад  54.5% Barry Callebaut 2,5 кг;0926;0926;RUB;2190;1;;;2;;;;1;;;;;;;;;;;;;
Бисквитные палочки САВОЙЯРДИ;10356;10356;RUB;80;1;;;14;;;;1;;;;;;;;;;;;;
Бумага вафельная 0,33 мм;0675;0675;RUB;750;1;;;1;;;;1;;;;;;;;;;;;;
Бумага тишью 50х66 см;12856;12856;RUB;95;1;;;35;;;;1;;;;;;;;;;;;;
Бумажные формы Пончик;13688;13688;RUB;7;1;;;96;;;;1;;;;;;;;;;;;;
Бумажный Наполнитель 50 гр;13273;13273;RUB;85;1;;;19;;;;1;;;;;;;;;;;;;
Бутоны Розы сухие 50гр;12492;12492;RUB;215;1;;;10;;;;1;;;;;;;;;;;;;
Бутоны Розы сухие, желтые 40гр;;;RUB;225;1;;;2;;;;1;;;;;;;;;;;;;
ВЫрубка карета;12914;12914;RUB;155;1;;;3;;;;1;;;;;;;;;;;;;
Вайнер 2 шт;12965;12965;RUB;195;1;;;5;;;;1;;;;;;;;;;;;;
Вайнер Лепесток;12867;12867;RUB;195;1;;;2;;;;1;;;;;;;;;;;;;
Ванилин порошок 100гр Франция;11923;11923;RUB;85;1;;;5;;;;1;;;;;;;;;;;;;
Ванильная паста 30 гр;;;RUB;295;1;;;3;;;;1;;;;;;;;;;;;;
Вафельная бумага;0201;0201;RUB;150;1;;;95;;;;1;;;;;;;;;;;;;
Вафельная бумага для печати 0,33;11513;11513;RUB;130;1;;;47;;;;1;;;;;;;;;;;;;
Вафельная бумага для цветов;;;RUB;30;1;;;14;;;;1;;;;;;;;;;;;;
Вафельные бабочки цветные 10 шт;40100;40100;RUB;79;1;;;61;;;;1;;;;;;;;;;;;;
Венчик большой;11956;11956;RUB;185;1;;;4;;;;1;;;;;;;;;;;;;
Венчик для взбивания 20см Vartex;;;RUB;259;1;;;3;;;;1;;;;;;;;;;;;;
Венчик для взбивания 25 см Vartex;;;RUB;279;1;;;3;;;;1;;;;;;;;;;;;;
Венчик для взбивания 30 см Vartex;;;RUB;299;1;;;3;;;;1;;;;;;;;;;;;;
Венчик для взбивания крутящаяся;;;RUB;289;1;;;2;;;;1;;;;;;;;;;;;;
Весы кондитерские на 7 кг;10938;10938;RUB;399;1;;;4;;;;1;;;;;;;;;;;;;
Весы электронные кухонные Стекло до 7 кг;1071;1071;RUB;750;1;;;1;;;;1;;;;;;;;;;;;;
Весы ювилирные;13024;13024;RUB;489;1;;;4;;;;1;;;;;;;;;;;;;
Вкладыш эклер белый;;;RUB;7;1;;;100;;;;1;;;;;;;;;;;;;
Вырубка 3D в АСС;3Д;3Д;RUB;99;1;;;86;;;;1;;;;;;;;;;;;;
Вырубка 3Д В АСС средний;13753;13753;RUB;149;1;;;10;;;;1;;;;;;;;;;;;;
Вырубка Малишы;12912;12912;RUB;215;1;;;3;;;;1;;;;;;;;;;;;;
Вырубка Сыр;12144;12144;RUB;115;1;;;5;;;;1;;;;;;;;;;;;;
Вырубка Цыфри;12143;12143;RUB;265;1;;;7;;;;1;;;;;;;;;;;;;
Вырубка бабочки 2шт;12407;12407;RUB;225;1;;;2;;;;1;;;;;;;;;;;;;
Вырубка буквы Русски алфавит;12147;12147;RUB;285;1;;;3;;;;1;;;;;;;;;;;;;
Вырубка гербера;12890;12890;RUB;245;1;;;3;;;;1;;;;;;;;;;;;;
Вырубка дельфин 7 шт;12889;12889;RUB;225;1;;;5;;;;1;;;;;;;;;;;;;
Вырубка для пиона 4шт;11406;11406;RUB;245;1;;;1;;;;1;;;;;;;;;;;;;
Вырубка для теста и мастики авто;12809;12809;RUB;75;1;;;1;;;;1;;;;;;;;;;;;;
Вырубка единарог;12136;12136;RUB;125;1;;;2;;;;1;;;;;;;;;;;;;
Вырубка корона 2 шт;10429;10429;RUB;175;1;;;8;;;;1;;;;;;;;;;;;;
Вырубка любовь 7шт;12888;12888;RUB;225;1;;;10;;;;1;;;;;;;;;;;;;
Вырубка перо;12891;12891;RUB;175;1;;;9;;;;1;;;;;;;;;;;;;
Вырубка пионы 4 шт;13432;13432;RUB;110;1;;;2;;;;1;;;;;;;;;;;;;
Вырубка фигурная 3шт Набор;12844;12844;RUB;225;1;;;17;;;;1;;;;;;;;;;;;;
Вырубка футбол;12911;12911;RUB;215;1;;;4;;;;1;;;;;;;;;;;;;
Вырубка цифры 5см;12373;12373;RUB;680;1;;;1;;;;1;;;;;;;;;;;;;
Вырубка цыфри 5см;12133;12133;RUB;315;1;;;9;;;;1;;;;;;;;;;;;;
Вырубка штамп буквы 2,5см;11487;11487;RUB;225;1;;;1;;;;1;;;;;;;;;;;;;
Гвозд пластик 4шт;12106;12106;RUB;185;1;;;1;;;;1;;;;;;;;;;;;;
Гвоздь кондитерский острый;10782;10782;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
Гель нейтральный 500 гр;10094;10094;RUB;129;1;;;2;;;;1;;;;;;;;;;;;;
Глазурь для покрытии Молочная 500гр CHOCOVIK;;;RUB;189;1;;;8;;;;1;;;;;;;;;;;;;
Глазурь зеркальная с какао 1 кг;12199;12199;RUB;280;1;;;2;;;;1;;;;;;;;;;;;;
Глазурь кондитерская Темная 500 гр;12694;12694;RUB;139;1;;;13;;;;1;;;;;;;;;;;;;
Глазурь кондитерская Шокомилк Голубая 200гр;13653;13653;RUB;85;1;;;7;;;;1;;;;;;;;;;;;;
Глюкозный сироп 43% 1000 гр Ф.Д;12797;12797;RUB;265;1;;;3;;;;1;;;;;;;;;;;;;
Глюкозный сироп 43% 500гр Ф.Д;12693;12693;RUB;145;1;;;10;;;;1;;;;;;;;;;;;;
Горький бельгийский шоколад 70.5% Barry Callebaut 2,5 кг;0927;0927;RUB;2490;1;;;3;;;;1;;;;;;;;;;;;;
Держатель для ножа 2 шт;;;RUB;125;1;;;2;;;;1;;;;;;;;;;;;;
Десерт топпинг с ароматом Шоколад 300гр;13448;13448;RUB;99;1;;;3;;;;1;;;;;;;;;;;;;
Джем клубничный термостабильный 1000 гр;13454;13454;RUB;245;1;;;2;;;;1;;;;;;;;;;;;;
Джем яблочный термостабильный 1000 гр;13458;13458;RUB;245;1;;;3;;;;1;;;;;;;;;;;;;
Диоксид Титана 150 гр;13654;13654;RUB;205;1;;;2;;;;1;;;;;;;;;;;;;
Диоксид Титана 70 гр;11784;11784;RUB;125;1;;;6;;;;1;;;;;;;;;;;;;
Диоксид Титана 700 гр;13692;13692;RUB;505;1;;;1;;;;1;;;;;;;;;;;;;
Емкость мерная 1,5 литр Экстра  1060008;1044;1044;RUB;220;1;;;3;;;;1;;;;;;;;;;;;;
Желатин IL-Bakery 100гр;12989;12989;RUB;189;1;;;6;;;;1;;;;;;;;;;;;;
Желатин IL-Bakery 500гр;;;RUB;759;1;;;2;;;;1;;;;;;;;;;;;;
Желатин весовой Ewald, 500 гр;10749;10749;RUB;699;1;;;2;;;;1;;;;;;;;;;;;;
Желатин листовой Ewald, 10 шт;10751;10751;RUB;155;1;;;14;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет Ежевичная, 100 гр.;;;RUB;145;1;;;3;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет Лаймовая, 100 гр.;;;RUB;105;1;;;3;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет Малахит, 100 гр.;;;RUB;105;1;;;2;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет Неоново-зелен, 100 гр.;;;RUB;105;1;;;4;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет Ярко розовая, 100 гр.;;;RUB;145;1;;;4;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет белый, 100 гр.;0067;0067;RUB;140;1;;;6;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет бирюзовый, 100 гр.;0071;0071;RUB;105;1;;;10;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет бордовый, 100 гр.;0078;0078;RUB;105;1;;;9;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет голубой, 100 гр.;0072;0072;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет желтый, 100 гр.;0073;0073;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет зеленый, 100 гр.;0074;0074;RUB;105;1;;;9;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет золотой, 100 гр.;0068;0068;RUB;150;1;;;10;;;;1;;;;;;;;;;;;;
Жидкий краситель Топ продукт цвет коричневый, 100 гр.;0075;0075;RUB;105;1;;;9;;;;1;;;;;;;;;;;;;
